Metafile,Thumbnails Found,Screenshots Found,Thumbnails Missing,Screenshots Missing
1000176,5,5,0,0,
1000181,3,3,0,0,
1000182,5,5,0,0,
1000183,4,4,0,0,
1000184,2,0,0,0,
1000185,4,4,0,0,
1000186,5,5,0,0,
1000190,3,3,0,0,
1000191,5,5,0,0,
1000192,5,5,0,0,
1000193,3,3,0,0,
1000194,5,5,0,0,
1000195,4,4,0,0,
1000197,5,5,0,0,
1000198,2,0,0,0,
1000199,5,5,0,0,
10002,3,3,0,0,
1000200,0,0,0,24,,com.andrewstechnology.metroreader/1.2.0/en/images/1/S/768x1024_320x480_tb_001.png,com.andrewstechnology.metroreader/1.2.0/en/images/1/S/768x1024_320x480_tb_001.png,com.andrewstechnology.metroreader/1.2.0/en/images/1/S/768x1024_320x480_tb_001.png,com.andrewstechnology.metroreader/1.2.0/en/images/1/S/768x1024_320x480_tb_001.png,com.andrewstechnology.metroreader/1.2.0/en/images/1/S/768x1024_320x480_tb_001.png,com.andrewstechnology.metroreader/1.2.0/en/images/1/S/768x1024_320x480_tb_001.png,com.andrewstechnology.metroreader/1.2.0/en/images/2/S/768x1024_320x480_tb_002.png,com.andrewstechnology.metroreader/1.2.0/en/images/2/S/768x1024_320x480_tb_002.png,com.andrewstechnology.metroreader/1.2.0/en/images/2/S/768x1024_320x480_tb_002.png,com.andrewstechnology.metroreader/1.2.0/en/images/2/S/768x1024_320x480_tb_002.png,com.andrewstechnology.metroreader/1.2.0/en/images/2/S/768x1024_320x480_tb_002.png,com.andrewstechnology.metroreader/1.2.0/en/images/2/S/768x1024_320x480_tb_002.png,com.andrewstechnology.metroreader/1.2.0/en/images/3/S/768x1024_320x480_tb_003.png,com.andrewstechnology.metroreader/1.2.0/en/images/3/S/768x1024_320x480_tb_003.png,com.andrewstechnology.metroreader/1.2.0/en/images/3/S/768x1024_320x480_tb_003.png,com.andrewstechnology.metroreader/1.2.0/en/images/3/S/768x1024_320x480_tb_003.png,com.andrewstechnology.metroreader/1.2.0/en/images/3/S/768x1024_320x480_tb_003.png,com.andrewstechnology.metroreader/1.2.0/en/images/3/S/768x1024_320x480_tb_003.png,com.andrewstechnology.metroreader/1.2.0/en/images/4/S/768x1024_320x480_tb_005.png,com.andrewstechnology.metroreader/1.2.0/en/images/4/S/768x1024_320x480_tb_005.png,com.andrewstechnology.metroreader/1.2.0/en/images/4/S/768x1024_320x480_tb_005.png,com.andrewstechnology.metroreader/1.2.0/en/images/4/S/768x1024_320x480_tb_005.png,com.andrewstechnology.metroreader/1.2.0/en/images/4/S/768x1024_320x480_tb_005.png,com.andrewstechnology.metroreader/1.2.0/en/images/4/S/768x1024_320x480_tb_005.png
1000201,5,5,0,0,
1000202,5,5,0,0,
1000203,5,5,0,0,
1000204,5,5,0,0,
1000205,5,5,0,0,
1000206,2,0,0,0,
1000209,4,4,0,0,
1000210,4,4,0,0,
1000211,0,0,0,0,
1000212,5,5,0,0,
1000214,4,4,0,0,
1000215,2,0,0,0,
1000216,3,3,0,0,
1000217,3,3,0,0,
1000218,4,4,0,0,
1000219,3,3,0,0,
1000220,5,5,0,0,
1000221,5,5,0,0,
1000222,5,5,0,0,
1000223,4,4,0,0,
1000225,5,5,0,0,
1000226,5,5,0,0,
1000227,5,5,0,0,
1000228,5,5,0,0,
1000229,5,5,0,0,
1000230,5,5,0,0,
1000231,5,5,0,0,
1000232,5,5,0,0,
1000233,5,5,0,0,
1000234,5,5,0,0,
1000237,5,5,0,0,
1000238,5,5,0,0,
1000239,5,5,0,0,
1000240,4,4,0,0,
1000241,4,4,0,0,
1000242,4,4,0,0,
1000243,5,5,0,0,
1000245,4,4,0,0,
1000246,4,4,0,0,
1000247,3,3,0,0,
1000248,5,5,0,0,
1000250,5,5,0,0,
1000251,5,5,0,0,
1000252,5,5,0,0,
1000253,5,5,0,0,
1000254,5,5,0,0,
1000255,5,5,0,0,
1000257,5,5,0,0,
1000258,5,5,0,0,
1000259,5,5,0,0,
1000260,3,3,0,0,
1000261,3,3,0,0,
1000262,5,5,0,0,
1000263,5,5,0,0,
1000264,5,5,0,0,
1000265,3,3,0,0,
1000266,5,5,0,0,
1000267,2,0,0,0,
1000268,5,5,0,0,
1000269,5,5,0,0,
1000270,2,0,0,0,
1000271,5,5,0,0,
1000273,5,5,0,0,
1000274,5,5,0,0,
1000275,5,5,0,0,
1000276,5,5,0,0,
1000277,2,0,0,0,
1000278,5,5,0,0,
1000279,4,4,0,0,
1000280,5,5,0,0,
1000281,4,4,0,0,
1000282,3,3,0,0,
1000283,5,5,0,0,
1000284,5,5,0,0,
1000285,5,5,0,0,
1000286,5,5,0,0,
1000287,3,3,0,0,
1000289,5,5,0,0,
1000291,4,4,0,0,
1000292,5,5,0,0,
1000293,4,4,0,0,
1000294,5,5,0,0,
1000295,5,5,0,0,
1000296,5,5,0,0,
1000297,3,3,0,0,
1000298,4,4,0,0,
1000299,4,4,0,0,
1000300,5,5,0,0,
1000301,4,4,0,0,
1000302,5,5,0,0,
1000303,3,3,0,0,
1000304,5,5,0,0,
1000305,2,0,0,0,
1000307,5,5,0,0,
1000308,3,3,0,0,
1000309,5,5,0,0,
1000310,5,5,0,0,
1000311,5,5,0,0,
1000312,5,5,0,0,
1000313,3,3,0,0,
1000314,5,5,0,0,
1000315,5,5,0,0,
1000316,5,5,0,0,
1000317,4,4,0,0,
1000319,5,5,0,0,
1000320,5,5,0,0,
1000321,0,0,0,30,,com.datajog.webos.trial/2.2.0/de/images/1/L/ph_pre1.png,com.datajog.webos.trial/2.2.0/de/images/1/L/ph_pre1.png,com.datajog.webos.trial/2.2.0/de/images/1/S/conv_tb_tp1.png,com.datajog.webos.trial/2.2.0/de/images/1/S/conv_tb_tp1.png,com.datajog.webos.trial/2.2.0/de/images/1/S/conv_tb_tp1.png,com.datajog.webos.trial/2.2.0/de/images/1/S/conv_tb_tp1.png,com.datajog.webos.trial/2.2.0/de/images/2/L/ph_pre2.png,com.datajog.webos.trial/2.2.0/de/images/2/L/ph_pre2.png,com.datajog.webos.trial/2.2.0/de/images/2/S/conv_tb_tp2.png,com.datajog.webos.trial/2.2.0/de/images/2/S/conv_tb_tp2.png,com.datajog.webos.trial/2.2.0/de/images/2/S/conv_tb_tp2.png,com.datajog.webos.trial/2.2.0/de/images/2/S/conv_tb_tp2.png,com.datajog.webos.trial/2.2.0/de/images/3/L/ph_pre3.png,com.datajog.webos.trial/2.2.0/de/images/3/L/ph_pre3.png,com.datajog.webos.trial/2.2.0/de/images/3/S/conv_tb_tp3.png,com.datajog.webos.trial/2.2.0/de/images/3/S/conv_tb_tp3.png,com.datajog.webos.trial/2.2.0/de/images/3/S/conv_tb_tp3.png,com.datajog.webos.trial/2.2.0/de/images/3/S/conv_tb_tp3.png,com.datajog.webos.trial/2.2.0/de/images/4/L/ph_pre4.png,com.datajog.webos.trial/2.2.0/de/images/4/L/ph_pre4.png,com.datajog.webos.trial/2.2.0/de/images/4/S/conv_tb_tp4.png,com.datajog.webos.trial/2.2.0/de/images/4/S/conv_tb_tp4.png,com.datajog.webos.trial/2.2.0/de/images/4/S/conv_tb_tp4.png,com.datajog.webos.trial/2.2.0/de/images/4/S/conv_tb_tp4.png,com.datajog.webos.trial/2.2.0/de/images/5/L/ph_pre5.png,com.datajog.webos.trial/2.2.0/de/images/5/L/ph_pre5.png,com.datajog.webos.trial/2.2.0/de/images/5/S/conv_tb_tp5.png,com.datajog.webos.trial/2.2.0/de/images/5/S/conv_tb_tp5.png,com.datajog.webos.trial/2.2.0/de/images/5/S/conv_tb_tp5.png,com.datajog.webos.trial/2.2.0/de/images/5/S/conv_tb_tp5.png
1000323,3,3,0,0,
1000324,3,3,0,0,
1000325,5,5,0,0,
1000326,3,3,0,0,
1000327,3,3,0,0,
1000328,3,3,0,0,
1000330,5,5,0,0,
1000331,3,3,0,0,
1000332,5,5,0,0,
1000333,5,5,0,0,
1000334,4,4,0,0,
1000335,3,3,0,0,
1000336,2,0,0,0,
1000338,5,5,0,0,
1000339,5,5,0,0,
1000340,4,4,0,0,
1000341,4,4,0,0,
1000342,4,4,0,0,
1000343,4,4,0,0,
1000344,5,5,0,0,
1000345,5,5,0,0,
1000347,4,4,0,0,
1000348,5,5,0,0,
1000349,5,5,0,0,
1000350,2,0,0,0,
1000351,3,3,0,0,
1000352,3,3,0,0,
1000353,4,4,0,0,
1000354,2,0,0,0,
1000355,5,5,0,0,
1000358,3,3,0,0,
1000361,3,3,0,0,
1000362,3,3,0,0,
1000363,4,4,0,0,
1000364,5,5,0,0,
1000365,3,3,0,0,
1000366,4,4,0,0,
1000368,5,5,0,0,
